event_id,date_id,time_id,zone_id,city_name,domain_name,event_type_id,impact_score,severity_id,affected_people,duration_minutes
1051,20251221,2000,1,Casablanca,Weather,3,97.0,3,0,60
1052,20251221,2000,1,Casablanca,Security,4,37.0,1,0,60
1053,20251221,2000,1,Casablanca,Infrastructure,5,65.0,2,0,60
1054,20251221,2100,1,Casablanca,Composite,0,78.95,4,0,60
1055,20251221,2100,1,Casablanca,Mobility,1,56.0,2,2550,60
1056,20251221,2100,1,Casablanca,Affluence,2,90.0,3,45000,60
1057,20251221,2100,1,Casablanca,Weather,3,93.0,3,0,60
1058,20251221,2100,1,Casablanca,Security,4,44.0,2,0,60
1059,20251221,2100,1,Casablanca,Infrastructure,5,65.0,2,0,60
1060,20251221,2200,1,Casablanca,Composite,0,59.05,3,0,60
1061,20251221,2200,1,Casablanca,Mobility,1,53.0,2,1023,60
1062,20251221,2200,1,Casablanca,Affluence,2,32.0,1,16000,60
1063,20251221,2200,1,Casablanca,Weather,3,97.0,3,0,60
1064,20251221,2200,1,Casablanca,Security,4,46.0,2,0,60
1065,20251221,2200,1,Casablanca,Infrastructure,5,65.0,2,0,60
1066,20251221,2300,1,Casablanca,Composite,0,8.65,1,0,60
1067,20251221,2300,1,Casablanca,Mobility,1,10.0,1,4109,60
1068,20251221,2300,1,Casablanca,Affluence,2,17.0,1,8500,60
1069,20251221,2300,1,Casablanca,Weather,3,2.0,1,0,60
1070,20251221,2300,1,Casablanca,Security,4,10.0,1,0,60
1071,20251221,2300,1,Casablanca,Infrastructure,5,1.0,1,0,60
1072,20251221,1200,2,Rabat,Composite,0,13.05,1,0,60
1073,20251221,1200,2,Rabat,Mobility,1,16.0,1,3384,60
1074,20251221,1200,2,Rabat,Affluence,2,10.0,1,5000,60
1075,20251221,1200,2,Rabat,Weather,3,19.0,1,0,60
1076,20251221,1200,2,Rabat,Security,4,8.0,1,0,60
1077,20251221,1200,2,Rabat,Infrastructure,5,8.0,1,0,60
1078,20251221,1300,2,Rabat,Composite,0,16.35,1,0,60
1079,20251221,1300,2,Rabat,Mobility,1,14.0,1,3893,60
1080,20251221,1300,2,Rabat,Affluence,2,35.0,1,17500,60
1081,20251221,1300,2,Rabat,Weather,3,2.0,1,0,60
1082,20251221,1300,2,Rabat,Security,4,5.0,1,0,60
1083,20251221,1300,2,Rabat,Infrastructure,5,4.0,1,0,60
1084,20251221,1400,2,Rabat,Composite,0,18.0,1,0,60
1085,20251221,1400,2,Rabat,Mobility,1,26.0,1,2458,60
1086,20251221,1400,2,Rabat,Affluence,2,28.0,1,14000,60
1087,20251221,1400,2,Rabat,Weather,3,8.0,1,0,60
1088,20251221,1400,2,Rabat,Security,4,7.0,1,0,60
1089,20251221,1400,2,Rabat,Infrastructure,5,5.0,1,0,60
1090,20251221,1500,2,Rabat,Composite,0,12.95,1,0,60
1091,20251221,1500,2,Rabat,Mobility,1,19.0,1,4079,60
1092,20251221,1500,2,Rabat,Affluence,2,12.0,1,6000,60
1093,20251221,1500,2,Rabat,Weather,3,19.0,1,0,60
1094,20251221,1500,2,Rabat,Security,4,10.0,1,0,60
1095,20251221,1500,2,Rabat,Infrastructure,5,1.0,1,0,60
1096,20251221,1600,2,Rabat,Composite,0,15.65,1,0,60
1097,20251221,1600,2,Rabat,Mobility,1,26.0,1,1203,60
1098,20251221,1600,2,Rabat,Affluence,2,16.0,1,8000,60
1099,20251221,1600,2,Rabat,Weather,3,17.0,1,0,60
1100,20251221,1600,2,Rabat,Security,4,12.0,1,0,60
1101,20251221,1600,2,Rabat,Infrastructure,5,3.0,1,0,60
1102,20251221,1700,2,Rabat,Composite,0,32.15,1,0,60
1103,20251221,1700,2,Rabat,Mobility,1,67.0,2,2583,60
1104,20251221,1700,2,Rabat,Affluence,2,37.0,1,18500,60
1105,20251221,1700,2,Rabat,Weather,3,16.0,1,0,60
1106,20251221,1700,2,Rabat,Security,4,14.0,1,0,60
1107,20251221,1700,2,Rabat,Infrastructure,5,9.0,1,0,60
1108,20251221,1800,2,Rabat,Composite,0,21.6,1,0,60
1109,20251221,1800,2,Rabat,Mobility,1,59.0,2,3429,60
1110,20251221,1800,2,Rabat,Affluence,2,12.0,1,6000,60
1111,20251221,1800,2,Rabat,Weather,3,16.0,1,0,60
1112,20251221,1800,2,Rabat,Security,4,5.0,1,0,60
1113,20251221,1800,2,Rabat,Infrastructure,5,8.0,1,0,60
1114,20251221,1900,2,Rabat,Composite,0,40.8,3,0,60
1115,20251221,1900,2,Rabat,Mobility,1,40.0,2,2238,60
1116,20251221,1900,2,Rabat,Affluence,2,80.0,3,40000,60
1117,20251221,1900,2,Rabat,Weather,3,12.0,1,0,60
1118,20251221,1900,2,Rabat,Security,4,4.0,1,0,60
1119,20251221,1900,2,Rabat,Infrastructure,5,9.0,1,0,60
1120,20251221,2000,2,Rabat,Composite,0,43.7,3,0,60
1121,20251221,2000,2,Rabat,Mobility,1,67.0,2,4729,60
1122,20251221,2000,2,Rabat,Affluence,2,74.0,3,37000,60
1123,20251221,2000,2,Rabat,Weather,3,16.0,1,0,60
1124,20251221,2000,2,Rabat,Security,4,5.0,1,0,60
1125,20251221,2000,2,Rabat,Infrastructure,5,2.0,1,0,60
1126,20251221,2100,2,Rabat,Composite,0,32.25,1,0,60
1127,20251221,2100,2,Rabat,Mobility,1,19.0,1,4841,60
1128,20251221,2100,2,Rabat,Affluence,2,75.0,3,37500,60
1129,20251221,2100,2,Rabat,Weather,3,4.0,1,0,60
1130,20251221,2100,2,Rabat,Security,4,4.0,1,0,60
1131,20251221,2100,2,Rabat,Infrastructure,5,6.0,1,0,60
1132,20251221,2200,2,Rabat,Composite,0,24.1,1,0,60
1133,20251221,2200,2,Rabat,Mobility,1,25.0,1,780,60
1134,20251221,2200,2,Rabat,Affluence,2,36.0,1,18000,60
1135,20251221,2200,2,Rabat,Weather,3,18.0,1,0,60
1136,20251221,2200,2,Rabat,Security,4,19.0,1,0,60
1137,20251221,2200,2,Rabat,Infrastructure,5,10.0,1,0,60
1138,20251221,2300,2,Rabat,Composite,0,18.35,1,0,60
1139,20251221,2300,2,Rabat,Mobility,1,10.0,1,2761,60
1140,20251221,2300,2,Rabat,Affluence,2,36.0,1,18000,60
1141,20251221,2300,2,Rabat,Weather,3,11.0,1,0,60
1142,20251221,2300,2,Rabat,Security,4,7.0,1,0,60
1143,20251221,2300,2,Rabat,Infrastructure,5,5.0,1,0,60
1144,20251221,1200,3,Marrakech,Composite,0,12.25,1,0,60
1145,20251221,1200,3,Marrakech,Mobility,1,12.0,1,1961,60
1146,20251221,1200,3,Marrakech,Affluence,2,20.0,1,10000,60
1147,20251221,1200,3,Marrakech,Weather,3,5.0,1,0,60
1148,20251221,1200,3,Marrakech,Security,4,14.0,1,0,60
1149,20251221,1200,3,Marrakech,Infrastructure,5,8.0,1,0,60
1150,20251221,1300,3,Marrakech,Composite,0,18.15,1,0,60
1151,20251221,1300,3,Marrakech,Mobility,1,17.0,1,3272,60
1152,20251221,1300,3,Marrakech,Affluence,2,40.0,2,20000,60
1153,20251221,1300,3,Marrakech,Weather,3,3.0,1,0,60
1154,20251221,1300,3,Marrakech,Security,4,2.0,1,0,60
1155,20251221,1300,3,Marrakech,Infrastructure,5,0.0,1,0,60
1156,20251221,1400,3,Marrakech,Composite,0,20.05,1,0,60
1157,20251221,1400,3,Marrakech,Mobility,1,25.0,1,782,60
1158,20251221,1400,3,Marrakech,Affluence,2,39.0,1,19500,60
1159,20251221,1400,3,Marrakech,Weather,3,0.0,1,0,60
1160,20251221,1400,3,Marrakech,Security,4,20.0,1,0,60
1161,20251221,1400,3,Marrakech,Infrastructure,5,7.0,1,0,60
1162,20251221,1500,3,Marrakech,Composite,0,11.8,1,0,60
1163,20251221,1500,3,Marrakech,Mobility,1,13.0,1,4902,60
1164,20251221,1500,3,Marrakech,Affluence,2,16.0,1,8000,60
1165,20251221,1500,3,Marrakech,Weather,3,8.0,1,0,60
1166,20251221,1500,3,Marrakech,Security,4,8.0,1,0,60
1167,20251221,1500,3,Marrakech,Infrastructure,5,8.0,1,0,60
1168,20251221,1600,3,Marrakech,Composite,0,20.35,1,0,60
1169,20251221,1600,3,Marrakech,Mobility,1,26.0,1,659,60
1170,20251221,1600,3,Marrakech,Affluence,2,38.0,1,19000,60
1171,20251221,1600,3,Marrakech,Weather,3,5.0,1,0,60
1172,20251221,1600,3,Marrakech,Security,4,7.0,1,0,60
1173,20251221,1600,3,Marrakech,Infrastructure,5,3.0,1,0,60
1174,20251221,1700,3,Marrakech,Composite,0,18.45,1,0,60
1175,20251221,1700,3,Marrakech,Mobility,1,45.0,2,1233,60
1176,20251221,1700,3,Marrakech,Affluence,2,14.0,1,7000,60
1177,20251221,1700,3,Marrakech,Weather,3,15.0,1,0,60
1178,20251221,1700,3,Marrakech,Security,4,13.0,1,0,60
1179,20251221,1700,3,Marrakech,Infrastructure,5,4.0,1,0,60
1180,20251221,1800,3,Marrakech,Composite,0,20.15,1,0,60
1181,20251221,1800,3,Marrakech,Mobility,1,63.0,2,2374,60
1182,20251221,1800,3,Marrakech,Affluence,2,11.0,1,5500,60
1183,20251221,1800,3,Marrakech,Weather,3,10.0,1,0,60
1184,20251221,1800,3,Marrakech,Security,4,20.0,1,0,60
1185,20251221,1800,3,Marrakech,Infrastructure,5,6.0,1,0,60
1186,20251221,1900,3,Marrakech,Composite,0,36.95,1,0,60
1187,20251221,1900,3,Marrakech,Mobility,1,52.0,2,4198,60
1188,20251221,1900,3,Marrakech,Affluence,2,60.0,2,30000,60
1189,20251221,1900,3,Marrakech,Weather,3,15.0,1,0,60
1190,20251221,1900,3,Marrakech,Security,4,11.0,1,0,60
1191,20251221,1900,3,Marrakech,Infrastructure,5,9.0,1,0,60
1192,20251221,2000,3,Marrakech,Composite,0,43.85,3,0,60
1193,20251221,2000,3,Marrakech,Mobility,1,68.0,2,1258,60
1194,20251221,2000,3,Marrakech,Affluence,2,80.0,3,40000,60
1195,20251221,2000,3,Marrakech,Weather,3,9.0,1,0,60
1196,20251221,2000,3,Marrakech,Security,4,18.0,1,0,60
1197,20251221,2000,3,Marrakech,Infrastructure,5,0.0,1,0,60
1198,20251221,2100,3,Marrakech,Composite,0,35.35,1,0,60
1199,20251221,2100,3,Marrakech,Mobility,1,27.0,1,4599,60
1200,20251221,2100,3,Marrakech,Affluence,2,71.0,3,35500,60
1201,20251221,2100,3,Marrakech,Weather,3,14.0,1,0,60
1202,20251221,2100,3,Marrakech,Security,4,18.0,1,0,60
1203,20251221,2100,3,Marrakech,Infrastructure,5,8.0,1,0,60
1204,20251221,2200,3,Marrakech,Composite,0,14.85,1,0,60
1205,20251221,2200,3,Marrakech,Mobility,1,30.0,1,4540,60
1206,20251221,2200,3,Marrakech,Affluence,2,20.0,1,10000,60
1207,20251221,2200,3,Marrakech,Weather,3,5.0,1,0,60
1208,20251221,2200,3,Marrakech,Security,4,18.0,1,0,60
1209,20251221,2200,3,Marrakech,Infrastructure,5,3.0,1,0,60
1210,20251221,2300,3,Marrakech,Composite,0,20.65,1,0,60
1211,20251221,2300,3,Marrakech,Mobility,1,15.0,1,1692,60
1212,20251221,2300,3,Marrakech,Affluence,2,40.0,2,20000,60
1213,20251221,2300,3,Marrakech,Weather,3,13.0,1,0,60
1214,20251221,2300,3,Marrakech,Security,4,13.0,1,0,60
1215,20251221,2300,3,Marrakech,Infrastructure,5,2.0,1,0,60
1216,20251221,1200,4,Agadir,Composite,0,23.3,1,0,60
1217,20251221,1200,4,Agadir,Mobility,1,22.0,1,2048,60
1218,20251221,1200,4,Agadir,Affluence,2,40.0,2,20000,60
1219,20251221,1200,4,Agadir,Weather,3,14.0,1,0,60
1220,20251221,1200,4,Agadir,Security,4,9.0,1,0,60
1221,20251221,1200,4,Agadir,Infrastructure,5,7.0,1,0,60
1222,20251221,1300,4,Agadir,Composite,0,13.5,1,0,60
1223,20251221,1300,4,Agadir,Mobility,1,14.0,1,4271,60
1224,20251221,1300,4,Agadir,Affluence,2,19.0,1,9500,60
1225,20251221,1300,4,Agadir,Weather,3,9.0,1,0,60
1226,20251221,1300,4,Agadir,Security,4,8.0,1,0,60
1227,20251221,1300,4,Agadir,Infrastructure,5,9.0,1,0,60
1228,20251221,1400,4,Agadir,Composite,0,16.8,1,0,60
1229,20251221,1400,4,Agadir,Mobility,1,26.0,1,3668,60
1230,20251221,1400,4,Agadir,Affluence,2,24.0,1,12000,60
1231,20251221,1400,4,Agadir,Weather,3,12.0,1,0,60
1232,20251221,1400,4,Agadir,Security,4,13.0,1,0,60
1233,20251221,1400,4,Agadir,Infrastructure,5,1.0,1,0,60
1234,20251221,1500,4,Agadir,Composite,0,14.05,1,0,60
1235,20251221,1500,4,Agadir,Mobility,1,25.0,1,863,60
1236,20251221,1500,4,Agadir,Affluence,2,12.0,1,6000,60
1237,20251221,1500,4,Agadir,Weather,3,13.0,1,0,60
1238,20251221,1500,4,Agadir,Security,4,9.0,1,0,60
1239,20251221,1500,4,Agadir,Infrastructure,5,8.0,1,0,60
1240,20251221,1600,4,Agadir,Composite,0,12.2,1,0,60
1241,20251221,1600,4,Agadir,Mobility,1,12.0,1,851,60
1242,20251221,1600,4,Agadir,Affluence,2,24.0,1,12000,60
1243,20251221,1600,4,Agadir,Weather,3,4.0,1,0,60
1244,20251221,1600,4,Agadir,Security,4,3.0,1,0,60
1245,20251221,1600,4,Agadir,Infrastructure,5,2.0,1,0,60
1246,20251221,1700,4,Agadir,Composite,0,23.7,1,0,60
1247,20251221,1700,4,Agadir,Mobility,1,50.0,2,1579,60
1248,20251221,1700,4,Agadir,Affluence,2,25.0,1,12500,60
1249,20251221,1700,4,Agadir,Weather,3,19.0,1,0,60
1250,20251221,1700,4,Agadir,Security,4,19.0,1,0,60
1251,20251221,1700,4,Agadir,Infrastructure,5,1.0,1,0,60
1252,20251221,1800,4,Agadir,Composite,0,22.3,1,0,60
1253,20251221,1800,4,Agadir,Mobility,1,59.0,2,1805,60
1254,20251221,1800,4,Agadir,Affluence,2,15.0,1,7500,60
1255,20251221,1800,4,Agadir,Weather,3,17.0,1,0,60
1256,20251221,1800,4,Agadir,Security,4,6.0,1,0,60
1257,20251221,1800,4,Agadir,Infrastructure,5,5.0,1,0,60
1258,20251221,1900,4,Agadir,Composite,0,42.5,3,0,60
1259,20251221,1900,4,Agadir,Mobility,1,69.0,2,3462,60
1260,20251221,1900,4,Agadir,Affluence,2,67.0,2,33500,60
1261,20251221,1900,4,Agadir,Weather,3,17.0,1,0,60
1262,20251221,1900,4,Agadir,Security,4,6.0,1,0,60
1263,20251221,1900,4,Agadir,Infrastructure,5,5.0,1,0,60
1264,20251221,2000,4,Agadir,Composite,0,36.25,1,0,60
1265,20251221,2000,4,Agadir,Mobility,1,45.0,2,395,60
1266,20251221,2000,4,Agadir,Affluence,2,63.0,2,31500,60
1267,20251221,2000,4,Agadir,Weather,3,16.0,1,0,60
1268,20251221,2000,4,Agadir,Security,4,16.0,1,0,60
1269,20251221,2000,4,Agadir,Infrastructure,5,6.0,1,0,60
1270,20251221,2100,4,Agadir,Composite,0,30.6,1,0,60
1271,20251221,2100,4,Agadir,Mobility,1,14.0,1,1655,60
1272,20251221,2100,4,Agadir,Affluence,2,66.0,2,33000,60
1273,20251221,2100,4,Agadir,Weather,3,14.0,1,0,60
1274,20251221,2100,4,Agadir,Security,4,17.0,1,0,60
1275,20251221,2100,4,Agadir,Infrastructure,5,6.0,1,0,60
1276,20251221,2200,4,Agadir,Composite,0,16.15,1,0,60
1277,20251221,2200,4,Agadir,Mobility,1,29.0,1,283,60
1278,20251221,2200,4,Agadir,Affluence,2,19.0,1,9500,60
1279,20251221,2200,4,Agadir,Weather,3,10.0,1,0,60
1280,20251221,2200,4,Agadir,Security,4,6.0,1,0,60
1281,20251221,2200,4,Agadir,Infrastructure,5,6.0,1,0,60
1282,20251221,2300,4,Agadir,Composite,0,17.9,1,0,60
1283,20251221,2300,4,Agadir,Mobility,1,28.0,1,1935,60
1284,20251221,2300,4,Agadir,Affluence,2,28.0,1,14000,60
1285,20251221,2300,4,Agadir,Weather,3,6.0,1,0,60
1286,20251221,2300,4,Agadir,Security,4,18.0,1,0,60
1287,20251221,2300,4,Agadir,Infrastructure,5,5.0,1,0,60
